lga_code,lga_name,state,welcoming_city_member,welcoming_city_accreditation,palm_alliance,crisp_settled,overseas_born_pct,language_other_than_english_pct,population,median_age
55320,Melville,WA,Y,,,1,34.5,20.2,103523,
55390,Menzies,WA,,,,0,17.4,17.9,524,
55460,Merredin,WA,,,,0,11.8,4.8,3119,
55530,Mingenew,WA,,,,0,4.4,-0.7,407,
55600,Moora,WA,,,,0,11.1,3.5,2292,
55670,Morawa,WA,,,,0,8.8,3,660,
55740,Mosman Park,WA,,,,1,32.1,13.5,9169,
55810,Mount Magnet,WA,,,,0,13.6,4.6,653,
55880,Mount Marshall,WA,,,,0,9.4,1.7,459,
55950,Mukinbudin,WA,,,,0,9.3,2.6,579,
56090,Mundaring,WA,,,,1,23.9,5.5,39166,
56160,Murchison,WA,,,,0,4,10.9,101,
56230,Murray,WA,,,,0,17.7,2.9,18068,
56300,Nannup,WA,,,,1,20.7,3,1538,
56370,Narembeen,WA,,,,0,8.8,4.3,787,
56460,Narrogin,WA,,,,0,16.4,8.7,4779,
56580,Nedlands,WA,,,,1,32.8,15.4,22132,
56620,Ngaanyatjarraku,WA,,,,0,3.3,81.4,1358,
56730,Northam,WA,,,,0,18,5.2,11358,
56790,Northampton,WA,,,,0,13.2,2.6,3227,
56860,Nungarin,WA,,,,0,9.4,5.5,255,
56930,Peppermint Grove,WA,,,,0,27.4,10.1,1597,
57000,Perenjori,WA,,,,0,12.9,5.1,629,
57080,Perth,WA,,,,1,54.1,37.5,28463,
57140,Pingelly,WA,,,,0,16.3,4,1037,
57210,Plantagenet,WA,,,,0,19.2,6.3,5388,
57280,Port Hedland,WA,,,,0,20.6,14.4,15684,
57350,Quairading,WA,,,,0,9.5,2.2,961,
57420,Ravensthorpe,WA,,,,0,19.1,6.1,2085,
57490,Rockingham,WA,,,,2,30.4,8,135678,
57630,Sandstone,WA,,,,0,15.6,4.6,109,
57700,Serpentine-Jarrahdale,WA,,,,0,25.2,10.6,32173,
57770,Shark Bay,WA,,,,0,21.5,9.1,1031,
57840,South Perth,WA,,,,2,34.7,20.3,43405,
57910,Stirling,WA,Y,,,2,37.7,27.2,226369,
57980,Subiaco,WA,,,,0,35.3,17.4,17267,
58050,Swan,WA,,,,1,33.6,23,152974,
58190,Tammin,WA,,,,0,9.8,0.5,386,
58260,Three Springs,WA,,,,0,13,3.3,575,
58330,Toodyay,WA,,,,0,21.8,3.3,4601,
58400,Trayning,WA,,,,0,15.1,2.7,298,
58470,Upper Gascoyne,WA,,,,0,7.1,14.1,170,
58510,Victoria Park,WA,Y,,,3,37.6,24.1,36889,
58540,Victoria Plains,WA,,,,0,15.6,3.6,802,
58570,Vincent,WA,Y,,,0,32.9,19.6,36537,
58610,Wagin,WA,,,,0,16.1,3.9,1761,
58680,Wandering,WA,,,,0,11.8,2.1,535,
58760,Wanneroo,WA,,,,1,40.8,20.5,209111,
58820,Waroona,WA,,,,0,18,5.6,4234,
58890,West Arthur,WA,,,,0,9.6,0.8,773,
59030,Westonia,WA,,,,0,13.7,4,248,
59100,Wickepin,WA,,,,0,7.5,2.8,690,
59170,Williams,WA,,,,0,10.8,3.2,1021,
59250,Wiluna,WA,,,,0,13.1,24.7,535,
59310,Wongan-Ballidu,WA,,,,0,13,3.9,1297,
59320,Woodanilling,WA,,,,0,11.8,2.2,448,
59330,Wyalkatchem,WA,,,,0,14.5,3.4,470,
59340,Wyndham-East Kimberley,WA,,,,0,12.6,12,7477,
59350,Yalgoo,WA,,,,0,12.9,5,340,
59360,Yilgarn,WA,,,,0,18.1,7.2,1173,
59370,York,WA,,,,0,17.8,3.2,3459,
59499,No usual address (WA),WA,,,,0,17.7,6,8055,
59799,Migratory - Offshore - Shipping (WA),WA,,,,0,,,514,
60210,Break O'Day,TAS,,,,1,13.1,3,6770,
60410,Brighton,TAS,,,,0,6.3,3.2,18995,
60610,Burnie,TAS,,,,0,10.1,4.5,19918,
60810,Central Coast (Tas.),TAS,,,Y,0,9.5,2.4,22760,
61010,Central Highlands (Tas.),TAS,,,,0,10.2,3.1,2520,
61210,Circular Head,TAS,,,,0,10.4,4.2,8117,
61410,Clarence,TAS,Y,,,16,14.2,8.3,61531,
61510,Derwent Valley,TAS,,,,10,7.7,2.2,10942,
61610,Devonport,TAS,,,,0,11.2,5.5,26150,
61810,Dorset,TAS,,,,0,8.8,2.3,6829,
62010,Flinders (Tas.),TAS,,,,0,10.4,3.5,922,
62210,George Town,TAS,,,,0,11.6,2.4,7033,
62410,Glamorgan-Spring Bay,TAS,,,,0,14.7,6.4,5012,
62610,Glenorchy,TAS,Y,,,5,21.6,18.6,50411,
62810,Hobart,TAS,Y,Established,,25,28.6,20.5,55077,
63010,Huon Valley,TAS,,,,1,14.9,4,18259,
63210,Kentish,TAS,,,,0,12.1,4,6603,
63410,King Island,TAS,,,,0,13.3,6,1617,
63610,Kingborough,TAS,,,,5,21.2,10.7,40082,
63810,Latrobe (Tas.),TAS,,,,0,10.2,3.4,12420,
64010,Launceston,TAS,,,,1,16.2,10.7,70055,
64210,Meander Valley,TAS,,,,2,11.8,4,20709,
64610,Northern Midlands,TAS,,,,1,9.2,2.3,13745,
64810,Sorell,TAS,,,,1,10.3,3.7,16734,
65010,Southern Midlands,TAS,,,,0,5.9,1.2,6662,
65210,Tasman,TAS,,,,0,12.8,2.8,2593,
65410,Waratah-Wynyard,TAS,,,,0,9.9,2.2,14300,
65610,West Coast,TAS,Y,,,0,11,3.9,4263,
65810,West Tamar,TAS,,,,1,15.4,5.6,25145,
69499,No usual address (Tas.),TAS,,,,0,11.8,5.2,1377,
69799,Migratory - Offshore - Shipping (Tas.),TAS,,,,0,,,19,
70200,Alice Springs,NT,,,,0,26.3,24,25912,
70420,Barkly,NT,,,,0,9.1,49.9,6316,
70540,Belyuen,NT,,,,0,0,77.2,149,
70620,Central Desert,NT,,,,0,3.8,76.4,3591,
70700,Coomalie,NT,,,,0,13.6,6.3,1276,
71000,Darwin,NT,Y,,,21,34.2,30.3,80530,
71150,Darwin Waterfront Precinct,NT,,,,1,38.6,24.9,293,
71500,East Arnhem,NT,,,,0,2,88.8,8778,
72200,Katherine,NT,,,,0,15.2,18,9643,
72300,Litchfield,NT,,,,1,13.1,6,21411,
72330,MacDonnell,NT,,,,0,3,68.9,5748,
72800,Palmerston,NT,,,,1,22.2,17.6,37247,
73600,Roper Gulf,NT,,,,0,3.6,64.6,6486,
74050,Tiwi Islands,NT,,,,0,2.4,82.2,2348,
74550,Victoria Daly,NT,,,,0,4.5,55,2815,
74560,Wagait,NT,,,,0,18.4,7.6,423,
74660,West Arnhem,NT,,,,0,4.2,77.4,6281,
74680,West Daly,NT,,,,0,1.8,84.3,2973,
79399,Unincorporated NT,NT,,,,1,18.2,13.8,6802,
79499,No usual address (NT),NT,,,,0,14,14.6,3500,
79799,Migratory - Offshore - Shipping (NT),NT,,,,0,,,99,
89399,Unincorporated ACT,ACT,Y,Advanced,,14,28.8,24.3,453890,
89499,No usual address (ACT),ACT,,,,0,18.3,12.4,605,
