lga_code,lga_name,state,welcoming_city_member,welcoming_city_accreditation,palm_alliance,crisp_settled,overseas_born_pct,language_other_than_english_pct,population,median_age
17040,Snowy Monaro,NSW,,,,0,13.7,6.1,21666,
17080,Snowy Valleys,NSW,,,,2,9.1,4.3,14891,
17100,Strathfield,NSW,,,,0,58.9,65,45593,
17150,Sutherland,NSW,,,,0,19.3,13.7,230211,
17200,Sydney,NSW,Y,,,5,48.6,34.7,211632,
17310,Tamworth,NSW,Y,,,0,8.4,5.7,63070,
17350,Temora,NSW,Y,,,0,5.3,2.5,6034,
17400,Tenterfield,NSW,,,,1,8.7,2.8,6810,
17420,The Hills,NSW,,,,0,40.4,38.6,191876,
17550,Tweed,NSW,,,,3,15.4,4.9,97392,
17620,Upper Hunter,NSW,,,,0,9.2,4,14229,
17640,Upper Lachlan,NSW,,,,0,7.7,2.4,8514,
17650,Uralla,NSW,,,,1,7.2,2.5,5971,
17750,Wagga Wagga,NSW,Y,,Y,0,11.4,8.8,67609,
17850,Walcha,NSW,,,,0,5.6,1.9,3016,
17900,Walgett,NSW,Y,,,0,8.4,5.3,5253,
17950,Warren,NSW,,,,0,5.4,3.1,2550,
18020,Warrumbungle,NSW,,,,0,5.9,2.2,9225,
18050,Waverley,NSW,Y,,,4,41.7,20.8,68605,
18100,Weddin,NSW,,,,0,5.5,1.4,3608,
18200,Wentworth,NSW,,,,0,6.2,3.6,7453,
18250,Willoughby,NSW,Y,,,2,46.5,40.9,75613,
18350,Wingecarribee,NSW,,,,1,18,6.9,52709,
18400,Wollondilly,NSW,,,,0,11.1,5.6,53961,
18450,Wollongong,NSW,Y,,,0,21,15.7,214564,
18500,Woollahra,NSW,,,,1,34.4,15.4,53496,
18710,Yass Valley,NSW,,,,0,10.9,4,17281,
19399,Unincorporated NSW,NSW,,,,0,10.5,4.1,1016,
19499,No usual address (NSW),NSW,,,,0,16.8,9.9,11371,
19799,Migratory - Offshore - Shipping (NSW),NSW,,,,0,,,0,
20110,Alpine,VIC,,,,0,14.2,6.8,13235,
20260,Ararat,VIC,Y,,,0,11.3,4.9,11880,
20570,Ballarat,VIC,Y,,,0,11.3,6.9,113763,
20660,Banyule,VIC,Y,,,30,24.5,21.6,126236,
20740,Bass Coast,VIC,,,,17,15.1,5,40789,
20830,Baw Baw,VIC,,,,4,12,4.8,57626,
20910,Bayside (Vic.),VIC,,,,35,27.1,15.3,101306,
21010,Benalla,VIC,,,,0,9.3,3.5,14528,
21110,Boroondara,VIC,,,,41,32.5,28.6,167900,
21180,Brimbank,VIC,Y,,,1,48.2,57,194618,
21270,Buloke,VIC,,,,0,6.5,3.2,6178,
21370,Campaspe,VIC,,,,0,7.6,3.9,38735,
21450,Cardinia,VIC,,,,1,23.5,17.6,118194,
21610,Casey,VIC,Y,,,3,42.1,41.5,365239,
21670,Central Goldfields,VIC,,,,0,9.2,2.9,13483,
21750,Colac Otway,VIC,,,,8,10.3,5.6,22423,
21830,Corangamite,VIC,,,,2,7.3,2.4,16115,
21890,Darebin,VIC,Y,Excelling,,39,31.4,32.1,148570,
22110,East Gippsland,VIC,,,,0,11.9,3.9,48715,
22170,Frankston,VIC,Y,,,1,21.4,11.1,139281,
22250,Gannawarra,VIC,,,,0,5.6,2.3,10683,
22310,Glen Eira,VIC,Y,,,28,37,30.7,148908,
22410,Glenelg,VIC,,,,0,8.8,2.8,20152,
22490,Golden Plains,VIC,,,,0,9.3,2.9,24985,
22620,Greater Bendigo,VIC,Y,Mentoring,,5,9.7,6.3,121470,
22670,Greater Dandenong,VIC,Y,,,2,58.2,64.1,158208,
22750,Greater Geelong,VIC,Y,,,6,17.7,11.6,271057,
22830,Greater Shepparton,VIC,,,,0,17.4,17.4,68409,
22910,Hepburn,VIC,,,,4,14,4.7,16604,
22980,Hindmarsh,VIC,,,,0,10.4,7.1,5698,
23110,Hobsons Bay,VIC,,,,18,30.1,26.9,91322,
23190,Horsham,VIC,,,,0,7.1,4.6,20429,
23270,Hume,VIC,Y,,,2,39.9,48.5,243901,
23350,Indigo,VIC,,,,0,8.6,2.3,17368,
23430,Kingston (Vic.),VIC,,,,7,31.9,25.8,158129,
23670,Knox,VIC,Y,,,1,33,28.6,159103,
23810,Latrobe (Vic.),VIC,,,,0,12.8,6.5,77318,
23940,Loddon,VIC,,,,2,8.6,3.1,7759,
24130,Macedon Ranges,VIC,,,,2,13.1,4.5,51458,
24210,Manningham,VIC,Y,Established,,6,43.5,46.1,124700,
24250,Mansfield,VIC,,,,0,11.3,4.1,10178,
24330,Maribyrnong,VIC,Y,,,3,38,37.9,85209,
24410,Maroondah,VIC,,,,5,25.3,19.6,115043,
24600,Melbourne,VIC,Y,,,6,54.8,45.9,149615,
24650,Melton,VIC,Y,,,1,35.7,38.7,178960,
24780,Mildura,VIC,Y,,,0,13.6,12.1,56972,
24850,Mitchell,VIC,,,,2,14.6,11.2,49460,
24900,Moira,VIC,,,,0,9.9,5.2,30522,
24970,Monash,VIC,Y,,,5,50.4,51.8,190397,
25060,Moonee Valley,VIC,Y,,,1,27.8,28,121851,
25150,Moorabool,VIC,,,,2,14.3,7.6,37632,
24700,Merri-bek,VIC,Y,,,0,32.9,34.3,171357,
25340,Mornington Peninsula,VIC,Y,,,4,17.7,5.4,168948,
25430,Mount Alexander,VIC,,,,4,12.5,3.2,20253,
25490,Moyne,VIC,,,,2,7.4,2.1,17374,
25620,Murrindindi,VIC,,,,0,11.2,3.6,15197,
25710,Nillumbik,VIC,,,,3,16.4,9.5,62895,
25810,Northern Grampians,VIC,,,,0,9.2,5.3,11948,
25900,Port Phillip,VIC,Y,,,6,33.1,20.9,101942,
25990,Pyrenees,VIC,,,,0,9.5,2,7671,
26080,Queenscliffe,VIC,,,,0,10.8,3.5,3276,
26170,South Gippsland,VIC,,,,1,11.5,3.8,30577,
26260,Southern Grampians,VIC,,,,0,7.7,2.9,16588,
26350,Stonnington,VIC,,,,4,31.5,22,104703,
26430,Strathbogie,VIC,,,,0,9.8,3.7,11455,
26490,Surf Coast,VIC,,,,3,11.8,4.1,37694,
26610,Swan Hill,VIC,,,,0,16.7,16.2,21403,
26670,Towong,VIC,,,,0,8.3,2.8,6223,
26700,Wangaratta,VIC,,,,0,9.1,5.1,29808,
26730,Warrnambool,VIC,Y,,,0,9.6,5.2,35406,
26810,Wellington,VIC,,,,0,11,3.9,45639,
26890,West Wimmera,VIC,,,,0,6.8,2.3,4006,
26980,Whitehorse,VIC,Y,,,5,41.5,40.3,169346,
27070,Whittlesea,VIC,Y,,,6,37.6,44.9,229396,
27170,Wodonga,VIC,,,,1,11.4,6.8,43253,
27260,Wyndham,VIC,Y,,,0,48,49.4,292011,
27350,Yarra,VIC,Y,,,5,28.7,19.8,90114,
27450,Yarra Ranges,VIC,,,,2,16.8,7.8,156068,
27630,Yarriambiack,VIC,,,,0,6.7,2.8,6556,
29399,Unincorporated Vic,VIC,,,,0,15.2,11,955,
29499,No usual address (Vic.),VIC,,,,0,15.3,10.6,9089,
29799,Migratory - Offshore - Shipping (Vic.),VIC,,,,0,,,38,
30250,Aurukun,QLD,,,,0,1.5,83.8,1101,
30300,Balonne,QLD,Y,,,0,6.3,3.6,4320,
30370,Banana,QLD,,,Y,0,7.8,4.4,14513,
30410,Barcaldine,QLD,,,,0,5.2,1.8,2849,
30450,Barcoo,QLD,,,,0,2.6,0,308,
30760,Blackall Tambo,QLD,,,,0,4.7,1.8,1905,
30900,Boulia,QLD,,,,0,5.9,3.7,458,
31000,Brisbane,QLD,Y,,,28,31.8,23.8,1242825,
31750,Bulloo,QLD,Y,,,0,6.2,1.5,337,
31820,Bundaberg,QLD,Y,,,0,13,5.1,99215,
31900,Burdekin,QLD,,,,0,9,6.3,16692,
31950,Burke,QLD,,,,0,6.2,4.3,419,
32080,Cairns,QLD,Y,,,0,22.3,13.9,166943,
32250,Carpentaria,QLD,,,,0,6.3,4.3,2090,
32260,Cassowary Coast,QLD,,,Y,0,14.5,10.1,29157,
32270,Central Highlands (Qld),QLD,Y,,,0,11.7,5.8,27836,
32310,Charters Towers,QLD,,,,0,6.2,2.5,11794,
