name,type,address,postcode,state,lat,lon,precision
Community Refugee Integration and Settlement Pilot,crisp,,2131,NSW,-33.887602,151.124008,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2132,NSW,-33.882419,151.113385,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2134,NSW,-33.880049,151.101757,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2141,NSW,-33.872483,151.044768,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2142,NSW,-33.832747,151.015196,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2144,NSW,-33.851868,151.026756,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2145,NSW,-33.79382308,150.9751544,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2146,NSW,-33.789374,150.959508,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2147,NSW,-33.766075,150.935836,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2148,NSW,-33.783751,150.900547,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2150,NSW,-33.814463,151.006506,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2156,NSW,-33.656984,150.974528,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2162,NSW,-33.88349,151.004128,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2166,NSW,-33.892738,150.92937,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2170,NSW,-33.928392,150.921448,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2192,NSW,-33.921018,151.089663,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2193,NSW,-33.910308,151.12086,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2194,NSW,-33.917601,151.101777,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2203,NSW,-33.90441,151.138999,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2204,NSW,-33.912288,151.155539,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2209,NSW,-33.94913,151.075304,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2213,NSW,-33.964102,150.997836,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2229,NSW,-34.05494,151.120091,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2232,NSW,-34.061753,151.064329,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2250,NSW,-33.325373,151.189243,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2251,NSW,-33.482209,151.401999,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2257,NSW,-33.520358,151.374403,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2259,NSW,-33.208801,151.377213,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2260,NSW,-33.42537,151.436939,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2261,NSW,-33.315827,151.519708,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2262,NSW,-33.209125,151.528042,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2264,NSW,-33.106675,151.533807,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2265,NSW,-33.095552,151.412119,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2287,NSW,-32.892577,151.65807,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2289,NSW,-32.948567,151.71008,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2290,NSW,-32.983963,151.707801,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2291,NSW,-32.951039,151.742882,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2292,NSW,-32.931589,151.740716,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2303,NSW,-32.924571,151.743325,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2324,NSW,-32.623108,152.332617,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2325,NSW,-32.977861,151.317476,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2350,NSW,-30.493397,151.906153,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2470,NSW,-28.92786,152.749759,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2477,NSW,-28.907675,153.427314,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2478,NSW,-28.865483,153.532475,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2479,NSW,-28.709545,153.514963,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2480,NSW,-28.706486,153.25943,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2481,NSW,-28.660756,153.592843,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2482,NSW,-28.547307,153.432398,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2483,NSW,-28.461128,153.494236,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2484,NSW,-28.38059,153.31648,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2485,NSW,-28.184241,153.526816,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2487,NSW,-28.27973,153.548588,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2508,NSW,-34.230944,150.969679,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2538,NSW,-35.366161,150.320507,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2539,NSW,-35.522387,150.393202,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2540,NSW,-34.8282,150.5789,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2541,NSW,-34.990592,150.450994,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2580,NSW,-34.726283,149.729215,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2582,NSW,-34.75833012,148.9655031,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2600,NSW,-35.302911,149.201072,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2602,NSW,-35.248071,149.148147,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2603,NSW,-35.330382,149.125739,postcode_centroid
