lga_name,lga_accreditation,overseas_born_pct,language_other_than_english_pct
Whitehorse,,41.5,40.3
Whittlesea,,37.6,44.9
Wodonga,,11.4,6.8
Wyndham,,48,49.4
Yarra,,28.7,19.8
Yarra Ranges,,16.8,7.8
Yarriambiack,,6.7,2.8
Unincorporated Vic,,15.2,11
No usual address (Vic.),,15.3,10.6
Migratory - Offshore - Shipping (Vic.),,5.3,-5.3
Aurukun,,1.5,83.8
Balonne,,6.3,3.6
Banana,,7.8,4.4
Barcaldine,,5.2,1.8
Barcoo,,2.6,0
Blackall Tambo,,4.7,1.8
Boulia,,5.9,3.7
Brisbane,,31.8,23.8
Bulloo,,6.2,1.5
Bundaberg,,13,5.1
Burdekin,,9,6.3
Burke,,6.2,4.3
Cairns,,22.3,13.9
Carpentaria,,6.3,4.3
Cassowary Coast,,14.5,10.1
Central Highlands (Qld),,11.7,5.8
Charters Towers,,6.2,2.5
Cherbourg,,0,2.2
Cloncurry,,8.5,4.2
Cook,,14.1,9.7
Croydon,,4.9,-0.8
Diamantina,,11.7,8.6
Doomadgee,,2.7,3.2
Douglas,,21.4,9.3
Etheridge,,6.9,0.4
Flinders (Qld),,6,2.7
Fraser Coast,,15,3.8
Gladstone,Established,13.3,5.6
Gold Coast,,29.1,13.6
Goondiwindi,,6.2,3.2
Gympie,,11.6,2.7
Hinchinbrook,,9,5.3
Hope Vale,,1.4,60.3
Ipswich,,21.7,13.9
Isaac,,9.6,4.7
Kowanyama,,1.5,3.5
Livingstone,,10.1,2.7
Lockhart River,,3.4,65.2
Lockyer Valley,,14.1,6.9
Logan,Advanced,27.9,17.9
Longreach,,7.7,3.5
Mackay,,11.9,5.8
McKinlay,,4.8,2
Mapoon,,1.6,33.1
Maranoa,,7,4
Mareeba,,16.9,10.2
Moreton Bay,,21,8.4
Mornington,,2.7,34.2
Mount Isa,,16.3,9.6
Murweh,,8.4,5.6
Napranum,,2,16.3
Noosa,,23.1,5.7
North Burnett,,10.3,5.5
Northern Peninsula Area,,2.3,72.6
Palm Island,,1.2,40.4
Paroo,,5.1,3.2
Pormpuraaw,,2.9,52.2
Quilpie,,6,0.9
Redland,,23.1,7.3
Richmond,,4.3,1.1
Rockhampton,,10,6.3
Scenic Rim,,15,3.5
Somerset,,13.5,5
South Burnett,,9.7,3
Southern Downs,,10.3,4.3
Sunshine Coast,,20.7,6
Tablelands,,13.2,5
Toowoomba,,13.9,8.8
Torres,,7.7,48.5
Torres Strait Island,,3.3,86
Townsville,Established,14,7.7
Weipa,,9.9,9.2
Western Downs,,7.9,4
Whitsunday,,16.3,6.7
Winton,,5.2,2
Woorabinda,,1,3.1
Wujal Wujal,,0.4,37.7
Yarrabah,,0.3,78.3
No usual address (Qld),,19.8,7.9
Migratory - Offshore - Shipping (Qld),,14.2,12.6
Adelaide,,45.4,35.8
Adelaide Hills,,16.7,5.4
Adelaide Plains,,13.1,5.4
Alexandrina,,16.3,2.7
Anangu Pitjantjatjara Yunkunytjatjara,,2.5,84.7
Barossa,,11.8,2.6
Barunga West,,8,1.4
Berri Barmera,,12.4,9.7
Burnside,,33,27.4
Campbelltown (SA),,36.4,35.7
Ceduna,,7.5,9
Charles Sturt,,28.3,26.7
Clare and Gilbert Valleys,,10.1,2.8
Cleve,,5.2,1
Coober Pedy,,26.4,22
Copper Coast,,9.5,2.3
Elliston,,6,1.3
Flinders Ranges,,7.6,4.4
Franklin Harbour,,6.9,1.4
Gawler,,17.1,4.6
Goyder,,10,2.2
Grant,,7.6,1.6
Holdfast Bay,,23.6,10.6
Kangaroo Island,,14.6,4
Karoonda East Murray,,6.7,2.5
Kimba,,4.4,1.7
Kingston (SA),,7.4,1.7
Light,,11.2,2.5
