name,type,address,postcode,state,lat,lon,precision
Sadat Welfare and Sports Association,cop,,2160,NSW,-33.835883,150.976594,postcode_centroid
Lismore Friendship Festival,cop,,2480,NSW,-28.706486,153.25943,postcode_centroid
The Sinhalese Cultural Centre,cop,,2148,NSW,-33.783751,150.900547,postcode_centroid
African/Australian Football Association,cop,,2144,NSW,-33.851868,151.026756,postcode_centroid
African/Australian Football Association,cop,,2118,NSW,-33.775596,151.043518,postcode_centroid
African/Australian Football Association,cop,,2148,NSW,-33.783751,150.900547,postcode_centroid
African/Australian Football Association,cop,,2160,NSW,-33.835883,150.976594,postcode_centroid
African/Australian Football Association,cop,,2150,NSW,-33.814463,151.006506,postcode_centroid
Australian Afghan Hassanian Youth Association,cop,,2144,NSW,-33.851868,151.026756,postcode_centroid
Armenian Cultural Centre,cop,,2165,NSW,-33.872435,150.947496,postcode_centroid
Multicultural Community Services of Central Australia,cop,,0870,NT,-23.702291,133.86314,postcode_centroid
UMNT,cop,,0800,NT,-12.458684,130.83668,postcode_centroid
The Korean Association in Australia Northern Territory,cop,,0810,NT,-12.381806,130.866242,postcode_centroid
Darwin Malayalee Association,cop,,0870,NT,-23.702291,133.86314,postcode_centroid
Central Australia Sikh Cultural Centre,cop,,0830,NT,-12.52139649,130.9580765,postcode_centroid
Vibrant Diverse Cultures,cop,,0830,NT,-12.52139649,130.9580765,postcode_centroid
Bangladesh Association of Northern Territory,cop,,0800,NT,-12.458684,130.83668,postcode_centroid
Australian Vietnamese Family Association,cop,,0800,NT,-12.458684,130.83668,postcode_centroid
Chabad North Queensland,cop,,4870,QLD,-16.923761,145.742303,postcode_centroid
Chabad North Queensland,cop,,4868,QLD,-16.993753,145.729193,postcode_centroid
Chabad North Queensland,cop,,4860,QLD,-17.520343,145.888782,postcode_centroid
Chabad North Queensland,cop,,4740,QLD,-21.33763,149.059737,postcode_centroid
Chabad North Queensland,cop,,4810,QLD,-19.227783,146.764659,postcode_centroid
Chabad North Queensland,cop,,4802,QLD,-20.271072,148.989038,postcode_centroid
Mongolian Community Association in Queensland,cop,,4000,QLD,-27.468391,153.022126,postcode_centroid
The Vietnamese Community in Australia (Queensland Chapter),cop,,4807,QLD,-19.914965,147.133033,postcode_centroid
