Coolaroo South Primary School,hub,,3048,VIC,-37.653917,144.923609,postcode_centroid
Craigieburn South Primary School,hub,,3064,VIC,-37.546522,144.942199,postcode_centroid
Dallas Brooks Community Primary School,hub,,3047,VIC,-37.681105,144.930247,postcode_centroid
Good Samarotan Catholic Primary School,hub,,3064,VIC,-37.546522,144.942199,postcode_centroid
Holy Child Primary School,hub,,3047,VIC,-37.681105,144.930247,postcode_centroid
Meadow Heights Primary School,hub,,3048,VIC,-37.653917,144.923609,postcode_centroid
Meadows Primary School,hub,,3047,VIC,-37.681105,144.930247,postcode_centroid
Mount Ridley College,hub,,3064,VIC,-37.546522,144.942199,postcode_centroid
Roxburgh Park Primary School,hub,,3064,VIC,-37.546522,144.942199,postcode_centroid
Roxburgh Rise Primary School,hub,,3064,VIC,-37.546522,144.942199,postcode_centroid
St Dominic's Primary School,hub,,3047,VIC,-37.681105,144.930247,postcode_centroid
Sunbury Heights Primary School,hub,,3429,VIC,-37.56762,144.728973,postcode_centroid
Davis Creek primary School,hub,,3029,VIC,-37.837165,144.705831,postcode_centroid
Doherty's Creek P-9 College,hub,,3029,VIC,-37.837165,144.705831,postcode_centroid
Point Cook P-9 College,hub,,3030,VIC,-37.91624,144.64209,postcode_centroid
Truganina South Primary School,hub,,3029,VIC,-37.837165,144.705831,postcode_centroid
Wyndham Park Primary School,hub,,3030,VIC,-37.91624,144.64209,postcode_centroid
