institution_id,name,type,address,postcode,state,lat,lon,precision,lga_name,accreditation_level
Charles_Darwin_University,Charles Darwin University,uni,,830,NT,-12.47733,130.983039,postcode_centroid,Palmerston,
Charles_Darwin_University,Charles Darwin University,uni,,871,NT,-23.699207,133.895724,postcode_centroid,Alice Springs,
Charles_Darwin_University,Charles Darwin University,uni,,850,NT,-14.467759,132.266794,postcode_centroid,Katherine,
Charles_Darwin_University,Charles Darwin University,uni,,2000,NSW,-33.88287,151.203443,postcode_centroid,Sydney,
JBS_Foods_Riverina,JBS Foods Riverina,workplace,"2 Regulator Rd, Yanco NSW 2703",2703,NSW,-34.638638,146.464171,postcode_centroid,Leeton,
BLU_by_adcorp,BLU by adcorp,workplace,"Level 3, 2 Gardner Cl, Milton QLD 4064",4064,QLD,-27.473241,153.003875,postcode_centroid,Brisbane,
Museums_Victoria,Museums Victoria,workplace,"GPO Box 666, Melbourne VIC 3001",3001,VIC,-37.804144,144.971696,postcode_centroid,Melbourne,
Rajdhani_Marathi_Mandal,Rajdhani Marathi Mandal,cop,,2618,ACT,-35.237896,149.038977,postcode_centroid,Unincorporated ACT,
The_African_Gospel_Band,The African Gospel Band,cop,,2606,ACT,-35.220182,149.138382,postcode_centroid,Unincorporated ACT,
Forcibly_Displaced_People_Network,Forcibly Displaced People Network,cop,,2603,ACT,-35.337216,149.032098,postcode_centroid,Unincorporated ACT,
The_Slovenian-australian_Association_of_Canberra,The Slovenian-australian Association of Canberra,cop,,2606,ACT,-35.340002,149.084189,postcode_centroid,Unincorporated ACT,
Africa_2_Australia,Africa 2 Australia,cop,,2603,ACT,-35.330382,149.125739,postcode_centroid,Unincorporated ACT,
Federation_of_Indian_associations_of_ACT_(FINACT),Federation of Indian associations of ACT (FINACT),cop,,2602,ACT,-35.248071,149.148147,postcode_centroid,Unincorporated ACT,
Heilongjiang_Association_of_Australia,Heilongjiang Association of Australia,cop,,2617,ACT,-35.354119,149.090152,postcode_centroid,Unincorporated ACT,
Woolgoolga_and_Northern_Beaches_Chamber_of_Commerce,Woolgoolga and Northern Beaches Chamber of Commerce,cop,,2450,NSW,-30.110671,153.198141,postcode_centroid,Coffs Harbour,
Oriscon,Oriscon,cop,,2830,NSW,-32.245989,148.622165,postcode_centroid,Dubbo,
Assyrian_National_Council_-_Australia,Assyrian National Council - Australia,cop,,2165,NSW,-33.872527,150.953593,postcode_centroid,Fairfield,
Somali_Australian_Community_Association_of_NSW_(SACA),Somali Australian Community Association of NSW (SACA),cop,,2144,NSW,-33.863751,151.046172,postcode_centroid,Cumberland,
Australian_Meff_Consortium,Australian Meff Consortium,cop,,2165,NSW,-33.888246,150.887093,postcode_centroid,Fairfield,
Khmer_Community_of_New_South_Wales,Khmer Community of New South Wales,cop,,2177,NSW,-33.888043,150.887277,postcode_centroid,Fairfield,
Association_of_Community_Language_Schools,Association of Community Language Schools,cop,,2560,NSW,-34.471953,150.869568,postcode_centroid,Wollongong,
Australian_Druze_Community,Australian Druze Community,cop,,2160,NSW,-33.854216,150.988625,postcode_centroid,Cumberland,
Chabad_of_the_Hunter_and_Central_Coast,Chabad of the Hunter and Central Coast,cop,,2250,NSW,-32.92875,151.774509,postcode_centroid,Newcastle,
Islamic_Centre_of_Newcastle,Islamic Centre of Newcastle,cop,,2300,NSW,-32.898053,151.738736,postcode_centroid,Newcastle,
Museum_of_Chinese_in_Australia,Museum of Chinese in Australia,cop,,2000,NSW,-33.879759,151.205306,postcode_centroid,Sydney,
Rainbow_Crossing,Rainbow Crossing,cop,,2560,NSW,-34.194216,150.768408,postcode_centroid,Wollongong,
Vietnamese_Community_in_Australia_NSW_Chapter,Vietnamese Community in Australia NSW Chapter,cop,,2465,NSW,-29.412622,153.243897,postcode_centroid,Clarence Valley,
Voices_of_Women_Incorporated,Voices of Women Incorporated,cop,,2830,NSW,-32.24224,148.657282,postcode_centroid,Warrumbungle,
Voices_of_Women_Incorporated,Voices of Women Incorporated,cop,,2440,NSW,-30.375791,153.019648,postcode_centroid,Port Macquarie-Hastings,
St_Mary's_Ethiopian_Women's_Association_in_Sydney,St Mary's Ethiopian Women's Association in Sydney,cop,,2144,NSW,-33.851868,151.026756,postcode_centroid,Cumberland,
St_Mary's_Ethiopian_Women's_Association_in_Sydney,St Mary's Ethiopian Women's Association in Sydney,cop,,2148,NSW,-33.783751,150.900547,postcode_centroid,Cumberland,
St_Mary's_Ethiopian_Women's_Association_in_Sydney,St Mary's Ethiopian Women's Association in Sydney,cop,,2770,NSW,-33.756443,150.810246,postcode_centroid,Blacktown,
African_Australian_Advocacy_Centre,African Australian Advocacy Centre,cop,,2170,NSW,-33.928392,150.921448,postcode_centroid,Fairfield,
African_Australian_Advocacy_Centre,African Australian Advocacy Centre,cop,,2150,NSW,-33.814463,151.006506,postcode_centroid,Parramatta,
Australian_Arab_Cultural_Forum,Australian Arab Cultural Forum,cop,,2170,NSW,-33.928392,150.921448,postcode_centroid,Fairfield,
Turbans_4_Australia,Turbans 4 Australia,cop,,2150,NSW,-33.814463,151.006506,postcode_centroid,Parramatta,
Tamil_Senior_Citizens_Association_(N.S.W.),Tamil Senior Citizens Association (N.S.W.),cop,,2135,NSW,-33.881009,151.084759,postcode_centroid,Canada Bay,
Pacific_Communities_Centre_,Pacific Communities Centre ,cop,,2170,NSW,-33.928392,150.921448,postcode_centroid,Fairfield,
Sadat_Welfare_and_Sports_Association,Sadat Welfare and Sports Association,cop,,2144,NSW,-33.851868,151.026756,postcode_centroid,Cumberland,
Sadat_Welfare_and_Sports_Association,Sadat Welfare and Sports Association,cop,,2160,NSW,-33.835883,150.976594,postcode_centroid,Parramatta,
Lismore_Friendship_Festival,Lismore Friendship Festival,cop,,2480,NSW,-28.706486,153.25943,postcode_centroid,Ballina,
The_Sinhalese_Cultural_Centre,The Sinhalese Cultural Centre,cop,,2148,NSW,-33.783751,150.900547,postcode_centroid,Cumberland,
African/Australian_Football_Association,African/Australian Football Association,cop,,2144,NSW,-33.851868,151.026756,postcode_centroid,Cumberland,
African/Australian_Football_Association,African/Australian Football Association,cop,,2118,NSW,-33.775596,151.043518,postcode_centroid,The Hills,
African/Australian_Football_Association,African/Australian Football Association,cop,,2148,NSW,-33.783751,150.900547,postcode_centroid,Cumberland,
African/Australian_Football_Association,African/Australian Football Association,cop,,2160,NSW,-33.835883,150.976594,postcode_centroid,Parramatta,
African/Australian_Football_Association,African/Australian Football Association,cop,,2150,NSW,-33.814463,151.006506,postcode_centroid,Parramatta,
Australian_Afghan_Hassanian_Youth_Association,Australian Afghan Hassanian Youth Association,cop,,2144,NSW,-33.851868,151.026756,postcode_centroid,Cumberland,
Armenian_Cultural_Centre,Armenian Cultural Centre,cop,,2165,NSW,-33.872435,150.947496,postcode_centroid,Cumberland,
Multicultural_Community_Services_of_Central_Australia,Multicultural Community Services of Central Australia,cop,,870,NT,-23.702291,133.86314,postcode_centroid,Alice Springs,
UMNT,UMNT,cop,,800,NT,-12.458684,130.83668,postcode_centroid,Alice Springs,
The_Korean_Association_in_Australia_Northern_Territory,The Korean Association in Australia Northern Territory,cop,,810,NT,-12.381806,130.866242,postcode_centroid,Darwin,
Darwin_Malayalee_Association,Darwin Malayalee Association,cop,,870,NT,-23.702291,133.86314,postcode_centroid,Alice Springs,
Central_Australia_Sikh_Cultural_Centre,Central Australia Sikh Cultural Centre,cop,,830,NT,-12.52139649,130.9580765,postcode_centroid,Litchfield,
Vibrant_Diverse_Cultures,Vibrant Diverse Cultures,cop,,830,NT,-12.52139649,130.9580765,postcode_centroid,Litchfield,
Bangladesh_Association_of_Northern_Territory,Bangladesh Association of Northern Territory,cop,,800,NT,-12.458684,130.83668,postcode_centroid,Darwin Waterfront Precinct,
Australian_Vietnamese_Family_Association,Australian Vietnamese Family Association,cop,,800,NT,-12.458684,130.83668,postcode_centroid,Darwin Waterfront Precinct,
Chabad_North_Queensland,Chabad North Queensland,cop,,4870,QLD,-16.923761,145.742303,postcode_centroid,Cairns,
Chabad_North_Queensland,Chabad North Queensland,cop,,4868,QLD,-16.993753,145.729193,postcode_centroid,Cairns,
Chabad_North_Queensland,Chabad North Queensland,cop,,4860,QLD,-17.520343,145.888782,postcode_centroid,Tablelands,
Chabad_North_Queensland,Chabad North Queensland,cop,,4740,QLD,-21.33763,149.059737,postcode_centroid,Mackay,
Chabad_North_Queensland,Chabad North Queensland,cop,,4810,QLD,-19.227783,146.764659,postcode_centroid,Townsville,
